d,k,n_variables,instance_type,method,n_instances,feasible_solution_count,no_incumbent_count,optimal_found_count,optimal_found_pct,beam_width,mean_absolute_gap,max_absolute_gap,mean_relative_error_pct,max_relative_error_pct,mean_time_s,std_time_s,mean_dynamic_programming_time_s
2,2,250,random,Heuristic,50,50,0,50,100.0,4,0.0,0.0,0.0,0.0,0.0037752246856689454,0.00022677744967493666,0.0034677886962890623
2,2,250,random,Matrix method,50,50,0,50,100.0,,0.0,0.0,0.0,0.0,0.03526455879211426,0.0019224056416474898,0.0034677886962890623
2,2,250,random,SCIP,50,50,0,0,0.0,,1168.158128959533,1432.3319404498948,100.0,100.0,0.036821851159802466,0.0019593533331444687,0.0034677886962890623
2,2,250,random,Tabu search,50,50,0,3,6.0,,7.593569098044443,22.981073961649827,0.6513667796314542,2.1109085773633165,0.035775191979955705,0.0019473296773043056,0.0034677886962890623
2,2,500,random,Heuristic,50,50,0,50,100.0,4,0.0,0.0,0.0,0.0,0.008457436561584472,0.0004643757426915041,0.007027196884155274
2,2,500,random,Matrix method,50,50,0,50,100.0,,0.0,0.0,0.0,0.0,0.07081883430480956,0.005133713933450069,0.007027196884155274
2,2,500,random,SCIP,50,50,0,0,0.0,,2326.4719185574663,2653.069415639836,100.0,100.0,0.07412935463991743,0.005323418369043175,0.007027196884155274
2,2,500,random,Tabu search,50,50,0,0,0.0,,29.533615207772296,63.011035367320346,1.2856486414554371,2.7510150598003857,0.07179533903999982,0.0051623637986501604,0.007027196884155274
2,3,250,random,Heuristic,50,50,0,50,100.0,8,0.0,0.0,0.0,0.0,0.00780825138092041,0.0005823798404791018,0.006783962249755859
2,3,250,random,Matrix method,50,50,0,50,100.0,,0.0,0.0,0.0,0.0,0.03649237155914307,0.0025623393564775335,0.006783962249755859
2,3,250,random,SCIP,50,50,0,0,0.0,,1301.4163805749959,1559.966189552096,100.0,100.0,0.03824809514004301,0.0025961943238446525,0.006783962249755859
2,3,250,random,Tabu search,50,50,0,1,2.0,,10.07308948293138,38.544459172142524,0.799728243688942,2.9809012514001814,0.03707086038000853,0.002568761291411561,0.006783962249755859
2,3,500,random,Heuristic,50,50,0,50,100.0,8,0.0,0.0,0.0,0.0,0.017649989128112793,0.002076221768599034,0.015601253509521485
2,3,500,random,Matrix method,50,50,0,48,96.0,,50.1021302121051,2505.094502898066,1.9788245503405215,98.94077766886669,0.07318776130676269,0.004292644504224207,0.015601253509521485
2,3,500,random,SCIP,50,50,0,0,0.0,,2608.0444417198178,3063.0548331417904,100.0,100.0,0.07653373784007272,0.00436110722474516,0.015601253509521485
2,3,500,random,Tabu search,50,50,0,0,0.0,,41.224889968311274,105.32336604861757,1.600696808788967,4.1219199918482445,0.07429800409994641,0.004310288223001864,0.015601253509521485
2,4,250,random,Heuristic,50,50,0,50,100.0,16,0.0,0.0,0.0,0.0,0.016315422058105468,0.0010143258597110822,0.013038821220397949
2,4,250,random,Matrix method,50,50,0,48,96.0,,0.0008777966670095339,0.024038763126100093,5.695311275964907e-05,0.001467587934006662,0.03812183856964111,0.002628692226221606,0.013038821220397949
2,4,250,random,SCIP,50,50,0,0,0.0,,1427.3841252108853,1700.778672214762,100.0,100.0,0.03990404597992892,0.0026251498857115677,0.013038821220397949
2,4,250,random,Tabu search,50,50,0,1,2.0,,12.559815250352457,34.4677239518287,0.887590834414431,2.5178054804626115,0.038731067260087,0.0026569090452261005,0.013038821220397949
2,4,500,random,Heuristic,50,50,0,50,100.0,16,0.0,0.0,0.0,0.0,0.03645371437072754,0.002718784524542923,0.027002696990966798
2,4,500,random,Matrix method,50,50,0,43,86.0,,0.004381493105465779,0.061174687162292685,0.0001495591047521884,0.0022184408141729243,0.07637929916381836,0.008203214542929878,0.027002696990966798
