d,k,n,instances,optimal_pct,mean_error_pct,max_error_pct,time_s
2,2,500,50,94.0,6.503815049366947e-05,0.002437825411258608,0.06593911647796631
2,2,1000,50,92.0,3.759125042497135e-05,0.0012536421122881457,0.12817625522613527
2,4,500,50,80.0,0.00025433967490012826,0.0029724729045679803,0.0709505558013916
2,4,1000,50,74.0,0.00019147145289433176,0.0032625328178476094,0.22438130855560304
4,2,500,50,66.0,0.000404308024857497,0.004724779004660461,0.07636244297027588
4,2,1000,50,44.0,0.00039046359542388974,0.0022796344559586124,0.1487993574142456
4,4,500,50,54.0,0.001014546044690942,0.006933102652734066,0.22980765819549562
4,4,1000,50,26.0,0.0010913025934729359,0.003633785305558206,0.28523987770080567
