n_variables,n_instances,median_exact_time,median_matrix_time,matrix_matches_exact,matrix_match_rate
100,10,0.007154345512390137,0.014175653457641602,9,0.9
200,10,0.015308618545532227,0.030078887939453125,9,0.9
400,10,0.030829429626464844,0.05762434005737305,8,0.8
600,10,0.04900240898132324,0.08284533023834229,8,0.8
800,10,0.06289458274841309,0.10803890228271484,8,0.8
1000,10,0.08117055892944336,0.13801980018615723,7,0.7
