n_variables,n_instances,median_exact_time,median_matrix_time,matrix_matches_exact,matrix_match_rate
100,10,2.4074124097824097,0.3995293378829956,8,0.8
200,10,4.901104927062988,0.5330270528793335,6,0.6
400,10,9.968443274497986,0.9032403230667114,5,0.5
600,10,15.204015254974365,1.2513712644577026,5,0.5
800,10,20.47667372226715,1.9694260358810425,5,0.5
1000,10,25.467604637145996,2.112156391143799,4,0.4
