n_variables,n_instances,median_exact_time,median_matrix_time,matrix_matches_exact,matrix_match_rate
100,10,0.004532337188720703,0.014133334159851074,9,0.9
200,10,0.009146451950073242,0.02817833423614502,9,0.9
400,10,0.01852130889892578,0.05562424659729004,9,0.9
600,10,0.028371572494506836,0.08475589752197266,9,0.9
800,10,0.037593841552734375,0.10896003246307373,8,0.8
1000,10,0.04682588577270508,0.13992273807525635,9,0.9
