n_variables,n_instances,median_exact_time,median_matrix_time,matrix_matches_exact,matrix_match_rate
100,10,0.11527252197265625,0.045075178146362305,10,1.0
200,10,0.20107781887054443,0.07294571399688721,10,1.0
400,10,0.37272024154663086,0.12457764148712158,9,0.9
600,10,0.5396584272384644,0.19135475158691406,9,0.9
800,10,0.7225444316864014,0.23366963863372803,9,0.9
1000,10,0.9074208736419678,0.2869192361831665,9,0.9
