n,dits,k,instance_index,seed,matrix_cost,matrix_time,tau,target_reached,time_to_target,final_cost,target_difference,time_ratio,ratio_lower_bound,status,nodes,best_bound,gap
500,2,2,0,0,-2324.1131535707987,0.07913708686828613,2233.830790368868,True,0.29020006700000067,-2324.1131535707987,0.0,3.667055213733135,,optimal,1,-2324.113153570801,0.0
500,2,2,1,1,-2317.9991954760553,0.07658600807189941,2233.830790368868,True,0.2311296429999743,-2317.9991954760553,0.0,3.0179095218409655,,optimal,1,-2317.99919547606,0.0
500,2,2,2,2,-2232.8843502589707,0.07115364074707031,2233.830790368868,True,0.225885624,-2232.8843502589707,0.0,3.174617934210213,,optimal,1,-2232.884350258972,0.0
500,2,2,3,3,-2301.8517034264387,0.0739893913269043,2233.830790368868,True,0.25764178299999685,-2301.8517034264387,0.0,3.48214491806898,,optimal,1,-2301.8517034264382,0.0
500,2,2,4,4,-2130.5637096612477,0.07216787338256836,2233.830790368868,True,0.2211962709999966,-2130.5637096612477,0.0,3.0650240977368886,,optimal,1,-2130.5637096612495,0.0
500,2,2,5,5,-2653.069415639836,0.07165956497192383,2233.830790368868,True,0.23120000000000118,-2653.069415639836,0.0,3.226366223275081,,optimal,1,-2653.0694156398354,0.0
500,2,2,6,6,-2493.833295614305,0.07682442665100098,2233.830790368868,True,0.2384720219999963,-2493.833295614305,0.0,3.1041171720464655,,optimal,1,-2493.8332956143045,0.0
500,2,2,7,7,-2606.9571802889564,0.07698941230773926,2233.830790368868,True,0.2257580660000258,-2606.9571802889564,0.0,2.9323261372308433,,optimal,1,-2606.9571802889523,0.0
500,2,2,8,8,-2542.187970118411,0.07985615730285645,2233.830790368868,True,0.325486246999958,-2542.187970118411,0.0,4.075906705171692,,optimal,1,-2542.1879701184107,0.0
500,2,2,9,9,-2466.7063507606194,0.07486176490783691,2233.830790368868,True,0.18182685400000764,-2466.7063507606194,0.0,2.428834722556388,,optimal,1,-2466.7063507606185,0.0
500,2,2,10,10,-2308.6338664331115,0.07591819763183594,2233.830790368868,True,0.2239855059999627,-2308.6338664331115,0.0,2.950353314315716,,optimal,1,-2308.6338664331124,0.0
500,2,2,11,11,-2430.3642535324475,0.07796812057495117,2233.830790368868,True,0.20952445599999692,-2430.3642535324475,0.0,2.687309306097483,,optimal,1,-2430.364253532447,0.0
500,2,2,12,12,-2289.0008005334257,0.07535290718078613,2233.830790368868,True,0.2003030729999864,-2289.0008005334257,0.0,2.658199669979829,,optimal,1,-2289.0008005334266,0.0
500,2,2,13,13,-1972.6726614336346,0.07337713241577148,2233.830790368868,True,0.2593664510000053,-1972.6726614336346,0.0,3.5347041027765456,,optimal,1,-1972.672661433633,0.0
500,2,2,14,14,-2356.4950856845558,0.0712728500366211,2233.830790368868,True,0.19350508099995523,-2356.4950856845558,0.0,2.7149900824862385,,optimal,1,-2356.4950856845558,0.0
500,2,2,15,15,-2158.528700618138,0.07511591911315918,2233.830790368868,True,0.2256494349999798,-2158.528700618138,0.0,3.0040161614750103,,optimal,1,-2158.528700618137,0.0
500,2,2,16,16,-2297.332042229625,0.07257652282714844,2233.830790368868,True,0.2444783969999662,-2297.332042229625,0.0,3.3685603481201096,,optimal,1,-2297.3320422296233,0.0
500,2,2,17,17,-2212.93620918152,0.07412505149841309,2233.830790368868,True,0.2353993040000546,-2212.93620918152,0.0,3.1757050989043045,,optimal,1,-2212.9362091815233,0.0
500,2,2,18,18,-2134.7185128178376,0.07174229621887207,2233.830790368868,True,0.2939162590000137,-2134.7185128178376,0.0,4.096833729761468,,optimal,1,-2134.718512817836,0.0
500,2,2,19,19,-2286.694847793114,0.07416033744812012,2233.830790368868,True,0.2107535979999966,-2286.694847793114,0.0,2.8418640644324493,,optimal,1,-2286.694847793112,0.0
500,2,2,20,20,-2433.0712013572147,0.0708475112915039,2233.830790368868,True,0.199381322000022,-2433.0712013572147,0.0,2.8142318391349335,,optimal,1,-2433.0712013572133,0.0
500,2,2,21,21,-2190.931215796393,0.07486724853515625,2233.830790368868,True,0.21748779699998977,-2190.931215796393,0.0,2.9049791631899176,,optimal,1,-2190.931215796394,0.0
500,2,2,22,22,-2368.815881052755,0.0764627456665039,2233.830790368868,True,0.21115909999997484,-2368.815881052755,0.0,2.761594527627295,,optimal,1,-2368.815881052757,0.0
500,2,2,23,23,-2366.9681650976895,0.0732121467590332,2233.830790368868,True,0.2148097630000052,-2366.9681650976895,0.0,2.934072725759829,,optimal,1,-2366.968165097694,0.0
500,2,2,24,24,-2117.4517931287332,0.07524490356445312,2233.830790368868,True,0.20177574199999526,-2117.4517931287332,0.0,2.6815868243775287,,optimal,1,-2117.4517931287337,0.0
500,2,2,25,25,-2286.8922630192856,0.0724186897277832,2233.830790368868,True,0.22884764600001972,-2286.8922630192856,0.0,3.1600633325491256,,optimal,1,-2286.892263019288,0.0
500,2,2,26,26,-2258.0621232813237,0.07315468788146973,2233.830790368868,True,0.21255282299995315,-2258.0621232813237,0.0,2.9055256628850077,,optimal,1,-2258.062123281323,0.0
500,2,2,27,27,-2280.7034841102627,0.07880616188049316,2233.830790368868,True,0.2904742650000003,-2280.7034841102627,0.0,3.685933410137326,,optimal,1,-2280.7034841102645,0.0
500,2,2,28,28,-2474.4820807923056,0.07472085952758789,2233.830790368868,True,0.22539735499998415,-2474.4820807923056,0.0,3.0165251902216754,,optimal,1,-2474.482080792305,0.0
500,2,2,29,29,-2268.9218751145877,0.06911110877990723,2233.830790368868,True,0.22543410800000174,-2268.9218751145877,0.0,3.261908425140801,,optimal,1,-2268.921875114586,0.0
500,2,2,30,30,-2305.803252359634,0.06958794593811035,2233.830790368868,True,0.2247034289999874,-2305.803252359634,0.0,3.2290567852057683,,optimal,1,-2305.8032523596357,0.0
500,2,2,31,31,-2308.0135862007023,0.06885981559753418,2233.830790368868,True,0.19431759899998724,-2308.0135862007023,0.0,2.8219302842127507,,optimal,1,-2308.0135862007046,0.0
500,2,2,32,32,-2424.0281581788904,0.07007741928100586,2233.830790368868,True,0.2099717520000013,-2424.0281581788904,0.0,2.996282599363831,,optimal,1,-2424.02815817889,0.0
500,2,2,33,33,-2517.2570296207928,0.07267928123474121,2233.830790368868,True,0.20768150199995716,-2517.2570296207928,0.0,2.8575062723746907,,optimal,1,-2517.257029620794,0.0
500,2,2,34,34,-2180.6746502897668,0.08286881446838379,2233.830790368868,True,0.19204585799997176,-2180.6746502897668,0.0,2.3174683894294317,,optimal,1,-2180.674650289767,0.0
500,2,2,35,35,-2398.269660399382,0.07165026664733887,2233.830790368868,True,0.20298437600001762,-2398.269660399382,0.0,2.832988424161804,,optimal,1,-2398.2696603993786,0.0
500,2,2,36,36,-2411.5208753186544,0.06807398796081543,2233.830790368868,True,0.21059617400004527,-2411.5208753186544,0.0,3.093636502113966,,optimal,1,-2411.5208753186575,0.0
500,2,2,37,37,-2304.8148541999535,0.1385495662689209,2233.830790368868,True,0.20988409599999613,-2304.8148541999535,0.0,1.5148664961723293,,optimal,1,-2304.8148541999585,0.0
500,2,2,38,38,-2095.5392070343673,0.0745093822479248,2233.830790368868,True,0.2213797939999722,-2095.5392070343673,0.0,2.9711666815777145,,optimal,1,-2095.539207034367,0.0
500,2,2,39,39,-2619.4717921851134,0.0721120834350586,2233.830790368868,True,0.21565078599996923,-2619.4717921851134,0.0,2.9904944598387058,,optimal,1,-2619.4717921851066,0.0
500,2,2,40,40,-2424.640286715341,0.07413125038146973,2233.830790368868,True,0.19703114299994695,-2424.640286715341,0.0,2.6578688742743504,,optimal,1,-2424.6402867153406,0.0
500,2,2,41,41,-2301.991959531654,0.07482361793518066,2233.830790368868,True,0.1984199290000106,-2301.991959531654,0.0,2.6518355363663493,,optimal,1,-2301.9919595316574,0.0
500,2,2,42,42,-2177.94087368934,0.07651114463806152,2233.830790368868,True,0.1980515800000262,-2177.94087368934,0.0,2.5885324410831347,,optimal,1,-2177.9408736893424,0.0
