series,value,n,k,d,method,median_baseline_rss_mib,min_baseline_rss_mib,max_baseline_rss_mib,median_peak_rss_mib,min_peak_rss_mib,max_peak_rss_mib,median_incremental_peak_rss_mib,min_incremental_peak_rss_mib,max_incremental_peak_rss_mib
n,500,500,3,3,beam_dp,46.66796875,46.625,46.671875,47.55859375,47.52734375,47.56640625,0.8984375,0.88671875,0.90234375
n,500,500,3,3,exact_dp,46.609375,46.609375,46.75390625,49.8671875,49.66796875,49.89453125,3.11328125,3.05859375,3.28515625
n,500,500,3,3,smvc,63.58984375,63.4921875,63.734375,65.87109375,65.76953125,66.01171875,2.27734375,2.27734375,2.28125
n,500,500,3,3,stc,373.4453125,373.375,373.5546875,437.6171875,428.65234375,438.22265625,64.0625,55.27734375,64.77734375
n,500,500,3,3,tabu,46.72265625,46.71484375,46.74609375,47.55078125,47.52734375,47.55078125,0.8046875,0.8046875,0.8359375
n,1000,1000,3,3,beam_dp,46.7578125,46.75,46.79296875,47.765625,47.76171875,47.80859375,1.015625,1.00390625,1.015625
n,1000,1000,3,3,exact_dp,46.75390625,46.66015625,46.796875,52.98046875,52.84765625,53.25390625,6.2265625,6.1875,6.45703125
n,1000,1000,3,3,smvc,63.6015625,63.5546875,63.72265625,67.1484375,67.1015625,67.26953125,3.546875,3.546875,3.546875
n,1000,1000,3,3,stc,373.49609375,373.46875,373.61328125,454.828125,447.36328125,455.109375,81.33203125,73.75,81.640625
n,1000,1000,3,3,tabu,46.89453125,46.859375,46.9140625,48.1171875,48.08203125,48.15625,1.22265625,1.22265625,1.2421875
n,1500,1500,3,3,beam_dp,46.94140625,46.87890625,46.98046875,48.23828125,48.17578125,48.2734375,1.296875,1.29296875,1.296875
n,1500,1500,3,3,exact_dp,46.8828125,46.84375,46.93359375,56.4140625,56.3046875,56.453125,9.48046875,9.421875,9.609375
n,1500,1500,3,3,smvc,63.75,63.73046875,63.8515625,68.54296875,68.5234375,68.64453125,4.79296875,4.79296875,4.79296875
n,1500,1500,3,3,stc,373.66796875,373.625,373.69140625,479.9140625,478.953125,479.9375,106.24609375,105.26171875,106.3125
n,1500,1500,3,3,tabu,47.0,46.94140625,47.0234375,48.6484375,48.58984375,48.65234375,1.6484375,1.62890625,1.6484375
n,2000,2000,3,3,beam_dp,47.03125,46.984375,47.05859375,48.625,48.53125,48.640625,1.56640625,1.546875,1.609375
n,2000,2000,3,3,exact_dp,47.01171875,46.98046875,47.0703125,59.578125,59.546875,59.83203125,12.56640625,12.56640625,12.76171875
n,2000,2000,3,3,smvc,63.92578125,63.8203125,64.02734375,69.95703125,69.85546875,70.0625,6.03515625,6.03125,6.03515625
n,2000,2000,3,3,stc,373.81640625,373.71875,374.00390625,494.20703125,493.98046875,500.4453125,120.390625,119.9765625,126.7265625
n,2000,2000,3,3,tabu,47.1328125,47.07421875,47.21484375,49.18359375,49.13671875,49.27734375,2.0625,2.05078125,2.0625
n,2500,2500,3,3,beam_dp,47.1484375,47.0546875,47.1875,48.984375,48.953125,49.03515625,1.84765625,1.8359375,1.8984375
n,2500,2500,3,3,exact_dp,47.08984375,47.078125,47.13671875,62.8046875,62.79296875,63.0546875,15.71484375,15.71484375,15.91796875
n,2500,2500,3,3,smvc,64.109375,64.0859375,64.16796875,71.40625,71.37890625,71.46875,7.296875,7.29296875,7.30078125
n,2500,2500,3,3,stc,373.91015625,373.90234375,374.12890625,520.70703125,516.4375,520.7421875,146.8046875,142.30859375,146.83203125
n,2500,2500,3,3,tabu,47.234375,47.19921875,47.25390625,49.7265625,49.69140625,49.765625,2.4921875,2.4921875,2.51171875
n,3000,3000,3,3,beam_dp,47.2890625,47.26953125,47.32421875,49.46875,49.3984375,49.46875,2.14453125,2.12890625,2.1796875
n,3000,3000,3,3,exact_dp,47.25,47.24609375,47.296875,66.15625,66.109375,66.31640625,18.859375,18.859375,19.0703125
n,3000,3000,3,3,smvc,64.125,64.1015625,64.2109375,72.6640625,72.63671875,72.75,8.5390625,8.53515625,8.5390625
n,3000,3000,3,3,stc,374.15625,374.0390625,374.3125,541.97265625,540.0390625,542.1484375,167.93359375,165.7265625,167.9921875
n,3000,3000,3,3,tabu,47.37890625,47.35546875,47.390625,50.296875,50.26953125,50.30859375,2.91796875,2.9140625,2.91796875
